,city,cloudiness,country,date,humidity,lat,lon,max temp,wind speed
114,Upernavik,0.0,GL,06-04-2019,74.0,72.79,-56.15,29.27,13.69
115,Yokadouma,80.0,CM,06-04-2019,97.0,3.52,15.05,68.69,2.95
116,Broome,24.0,GB,06-04-2019,93.0,52.47,1.45,46.99,3.36
117,East London,32.0,ZA,06-04-2019,100.0,-33.02,27.91,68.96,15.93
118,Araouane,0.0,ML,06-04-2019,22.0,18.9,-3.53,69.68,9.89
119,Port-Cartier,75.0,CA,06-04-2019,74.0,50.03,-66.88,34.0,2.24
120,Luanda,75.0,AO,06-04-2019,88.0,-8.83,13.24,82.4,4.7
121,Coahuayana,24.0,MX,06-04-2019,25.0,18.62,-100.35,83.72,3.4
122,Podgornoye,48.0,RU,06-04-2019,79.0,57.79,82.64,25.76,7.76
123,Luderitz,68.0,NA,06-04-2019,90.0,-26.65,15.16,57.26,9.55
124,Vestmannaeyjar,80.0,IS,06-04-2019,94.0,63.44,-20.27,37.73,15.03
125,Timra,92.0,SE,06-04-2019,100.0,62.49,17.33,37.4,1.12
126,Nanortalik,68.0,GL,06-04-2019,91.0,60.14,-45.24,32.06,17.27
127,Bethel,1.0,US,06-04-2019,48.0,60.79,-161.76,39.2,16.11
128,Saldanha,80.0,PT,06-04-2019,94.0,41.42,-6.55,38.9,6.98
129,Hithadhoo,0.0,MV,06-04-2019,100.0,-0.6,73.08,84.08,6.76
130,Airai,0.0,TL,06-04-2019,67.0,-8.93,125.41,76.88,1.95
131,Amarillo,1.0,US,06-04-2019,17.0,35.21,-101.83,78.8,13.87
132,Chapais,0.0,CA,06-04-2019,50.0,49.78,-74.86,28.4,10.29
133,Chauk,0.0,MM,06-04-2019,86.0,20.89,94.82,69.5,2.73
134,Atuona,20.0,PF,06-04-2019,99.0,-9.8,-139.03,83.09,13.02
135,Carutapera,92.0,BR,06-04-2019,96.0,-1.2,-46.02,77.24,6.64
136,La Asuncion,92.0,EC,06-04-2019,98.0,-1.64,-78.74,49.88,1.95
137,Nouadhibou,0.0,MR,06-04-2019,55.0,20.93,-17.03,66.2,23.04
138,Hilo,20.0,US,06-04-2019,58.0,19.71,-155.08,82.4,13.87
139,Lompoc,20.0,US,06-04-2019,68.0,34.64,-120.46,69.01,17.22
140,Vostok,12.0,RU,06-04-2019,84.0,46.45,135.83,31.79,2.51
141,Christchurch,92.0,NZ,06-04-2019,76.0,-43.53,172.64,55.0,14.99
142,Palana,0.0,RU,06-04-2019,69.0,59.08,159.95,31.97,3.85
143,Port Hardy,90.0,CA,06-04-2019,93.0,50.7,-127.42,44.6,5.82
144,Rockhampton,0.0,AU,06-04-2019,61.0,-23.38,150.51,78.8,10.29
145,Iqaluit,90.0,CA,06-04-2019,92.0,63.75,-68.52,19.4,2.24
146,Hasaki,75.0,JP,06-04-2019,77.0,35.73,140.83,61.0,8.05
147,Comodoro Rivadavia,0.0,AR,06-04-2019,64.0,-45.87,-67.48,65.72,15.48
148,Kalmar,12.0,SE,06-04-2019,81.0,56.66,16.36,35.01,4.7
149,Mahebourg,75.0,MU,06-04-2019,69.0,-20.41,57.7,80.6,11.41
150,Bud,56.0,NO,06-04-2019,69.0,62.91,6.91,41.0,9.17
151,San Quintin,8.0,PH,06-04-2019,79.0,17.54,120.52,78.86,3.62
152,Sao Filipe,0.0,CV,06-04-2019,94.0,14.9,-24.5,71.39,16.15
153,Warragul,0.0,AU,06-04-2019,89.0,-38.16,145.93,69.01,3.62
154,Muisne,40.0,EC,06-04-2019,83.0,0.61,-80.02,78.8,10.29
155,Te Anau,0.0,NZ,06-04-2019,50.0,-45.41,167.72,54.38,3.62
156,Akdepe,0.0,TM,06-04-2019,47.0,42.05,59.39,57.2,20.8
157,Tuatapere,0.0,NZ,06-04-2019,64.0,-46.13,167.69,57.0,1.01
158,Marsh Harbour,24.0,BS,06-04-2019,100.0,26.54,-77.06,75.98,10.22
159,Severo-Kurilsk,92.0,RU,06-04-2019,93.0,50.68,156.12,32.78,24.87
160,Luganville,92.0,VU,06-04-2019,100.0,-15.51,167.18,77.51,7.2
161,Albanel,75.0,CA,06-04-2019,93.0,48.88,-72.44,36.0,8.05
162,Pedernales,12.0,EC,06-04-2019,70.0,0.07,-80.05,76.16,9.66
163,Batemans Bay,0.0,AU,06-04-2019,61.0,-35.71,150.18,68.0,1.01
164,Fuyang,0.0,CN,06-04-2019,83.0,32.89,115.81,61.49,4.52
165,Kungurtug,64.0,RU,06-04-2019,84.0,50.6,97.53,19.64,3.18
166,Clyde River,36.0,CA,06-04-2019,92.0,70.47,-68.59,5.0,23.04
167,Trinidad,48.0,UY,06-04-2019,78.0,-33.52,-56.9,57.53,1.61
168,Turtas,0.0,RU,06-04-2019,90.0,58.94,69.13,20.72,3.85
169,Bharwari,0.0,IN,06-04-2019,72.0,25.56,81.49,74.54,10.11
170,Provideniya,36.0,RU,06-04-2019,100.0,64.42,-173.23,17.21,5.75
171,Yueyang,0.0,CN,06-04-2019,78.0,29.36,113.12,69.14,8.21
172,Jalu,20.0,LY,06-04-2019,58.0,29.03,21.55,62.03,7.99
173,Pljevlja,0.0,ME,06-04-2019,61.0,43.36,19.36,48.2,3.36
174,Juneau,90.0,US,06-04-2019,66.0,58.3,-134.42,48.2,3.36
175,Anadyr,0.0,RU,06-04-2019,78.0,64.73,177.51,8.6,15.66
176,Parrita,75.0,CR,06-04-2019,78.0,9.52,-84.33,73.4,8.05
177,Santa Vitoria,100.0,BR,06-04-2019,79.0,-7.82,-67.03,78.41,8.99
178,Port Lincoln,68.0,AU,06-04-2019,92.0,-34.72,135.86,64.19,15.26
179,Jinka,100.0,ET,06-04-2019,44.0,5.79,36.57,73.01,1.16
180,Santa Cruz del Sur,80.0,CU,06-04-2019,52.0,20.71,-78.0,83.45,9.78
181,Cherskiy,0.0,RU,06-04-2019,72.0,68.75,161.3,16.04,2.39
182,Nakapiripirit,0.0,UG,06-04-2019,66.0,1.81,34.71,66.71,5.41
183,Kavieng,92.0,PG,06-04-2019,100.0,-2.57,150.8,82.82,4.74
184,Warrnambool,0.0,AU,06-04-2019,74.0,-38.38,142.48,60.01,5.01
185,Erzin,75.0,TR,06-04-2019,82.0,36.95,36.2,61.0,2.95
186,Karaidel,0.0,RU,06-04-2019,76.0,55.83,56.91,24.14,2.51
187,Kenai,20.0,US,06-04-2019,60.0,60.55,-151.26,44.01,23.04
188,Constitucion,5.0,MX,06-04-2019,6.0,23.99,-104.67,77.0,18.34
189,Kavaratti,0.0,IN,06-04-2019,100.0,10.57,72.64,84.08,8.77
190,Khalkhal,8.0,IR,06-04-2019,81.0,37.62,48.53,37.1,2.95
191,Kodiak,1.0,US,06-04-2019,18.0,39.95,-94.76,73.4,9.17
192,Miraflores,76.0,CO,06-04-2019,100.0,5.2,-73.14,55.37,1.95
193,Nome,90.0,US,06-04-2019,94.0,30.04,-94.42,75.99,5.82
194,Kruisfontein,0.0,ZA,06-04-2019,82.0,-34.0,24.73,61.04,11.01
195,Ribeira Brava,20.0,PT,06-04-2019,63.0,32.65,-17.07,62.6,11.41
196,Maloy,20.0,ID,06-04-2019,80.0,1.0,118.1,80.39,2.73
197,Wattegama,12.0,LK,06-04-2019,94.0,7.35,80.68,67.97,2.39
198,Sitka,44.0,US,06-04-2019,63.0,37.17,-99.65,66.99,8.99
199,Ninghai,0.0,CN,06-04-2019,77.0,29.29,121.42,69.01,2.24
200,Kutum,0.0,SD,06-04-2019,30.0,14.2,24.66,59.24,6.31
201,Birjand,0.0,IR,06-04-2019,46.0,32.86,59.22,50.0,6.93
202,Port Elizabeth,1.0,US,06-04-2019,76.0,39.31,-74.98,64.4,5.82
203,Isfana,40.0,KG,06-04-2019,93.0,39.84,69.53,51.8,2.28
204,Mugur-Aksy,76.0,RU,06-04-2019,83.0,50.38,90.44,19.01,2.17
205,Tongliao,36.0,CN,06-04-2019,39.0,43.61,122.27,39.62,9.22
206,Samoded,0.0,RU,06-04-2019,83.0,63.61,40.52,23.42,3.62
207,Viedma,0.0,AR,06-04-2019,39.0,-40.81,-62.99,62.39,7.54
208,Waipawa,92.0,NZ,06-04-2019,75.0,-39.94,176.59,55.99,4.97
209,Qaqortoq,20.0,GL,06-04-2019,80.0,60.72,-46.03,33.8,8.05
210,Bathsheba,0.0,BB,06-04-2019,98.0,13.22,-59.52,78.86,19.84
211,Guerrero Negro,0.0,MX,06-04-2019,62.0,27.97,-114.04,67.88,15.26
212,Sorland,12.0,NO,06-04-2019,100.0,67.67,12.69,37.64,24.87
213,Aksu,0.0,KZ,06-04-2019,86.0,52.04,76.93,30.2,8.95
214,Sibolga,92.0,ID,06-04-2019,100.0,1.74,98.78,69.86,1.39
215,Mariel,40.0,CU,06-04-2019,88.0,22.99,-82.75,75.2,4.7
216,Rioja,44.0,PE,06-04-2019,93.0,-6.06,-77.17,66.89,2.28
217,Half Moon Bay,75.0,US,06-04-2019,52.0,37.46,-122.43,69.8,8.05
218,Emerald,0.0,AU,06-04-2019,69.0,-23.53,148.16,77.0,10.29
219,Ribeira Grande,68.0,PT,06-04-2019,100.0,38.52,-28.7,59.24,26.11
220,Ambilobe,0.0,MG,06-04-2019,83.0,-13.19,49.05,71.48,5.19
221,Ixtapa,5.0,MX,06-04-2019,65.0,20.71,-105.21,79.0,11.41
222,Rafsanjan,0.0,IR,06-04-2019,62.0,30.4,55.99,48.98,3.29
223,Arica,0.0,CL,06-04-2019,78.0,-18.48,-70.32,71.6,2.24
224,Ust-Ishim,0.0,RU,06-04-2019,78.0,57.69,71.17,17.66,3.62
225,Sambava,68.0,MG,06-04-2019,100.0,-14.27,50.17,80.39,15.7
226,Ulaangom,80.0,MN,06-04-2019,88.0,49.98,92.07,23.96,5.64
227,Ciudad Guayana,76.0,VE,06-04-2019,69.0,8.32,-62.69,81.47,10.45
228,Wanning,8.0,AT,06-04-2019,70.0,48.64,13.53,46.99,10.29
229,Gornopravdinsk,8.0,RU,06-04-2019,77.0,60.06,69.92,20.72,4.63
230,Kimbe,76.0,PG,06-04-2019,100.0,-5.56,150.15,81.02,3.96
231,Smithers,90.0,CA,06-04-2019,43.0,54.78,-127.17,51.8,8.05
232,Mayo,75.0,CA,06-04-2019,47.0,63.59,-135.9,33.8,11.41
233,Abu Dhabi,0.0,AE,06-04-2019,21.0,24.47,54.37,86.0,5.82
234,San Rafael,0.0,AR,06-04-2019,37.0,-34.61,-68.33,59.06,4.18
235,Savannah Bight,0.0,HN,06-04-2019,94.0,16.45,-85.85,81.02,21.74
236,Porto Novo,75.0,BR,06-04-2019,94.0,-23.68,-45.44,73.4,6.93
237,Vanimo,92.0,PG,06-04-2019,100.0,-2.67,141.3,79.22,5.97
238,King City,1.0,US,06-04-2019,59.0,36.21,-121.13,73.0,16.11
239,Zavodouspenskoye,0.0,RU,06-04-2019,69.0,56.86,65.02,33.8,6.71
240,Victoria Point,20.0,AU,06-04-2019,61.0,-27.58,153.3,82.0,11.41
241,Hobyo,24.0,SO,06-04-2019,85.0,5.35,48.53,79.49,7.99
242,Dalvik,56.0,SE,06-04-2019,61.0,57.79,14.13,48.2,5.82
243,Bull Savanna,56.0,JM,06-04-2019,58.0,17.89,-77.59,79.22,7.54
244,Matara,8.0,PE,06-04-2019,59.0,-13.74,-72.9,48.89,2.17
245,Lebork,0.0,PL,06-04-2019,73.0,54.54,17.75,41.0,1.12
246,Vinh,56.0,VN,06-04-2019,95.0,18.67,105.69,74.99,4.63
247,Micheweni,20.0,TZ,06-04-2019,100.0,-4.97,39.83,83.9,3.62
248,Yar-Sale,0.0,RU,06-04-2019,79.0,66.83,70.83,23.51,19.73
249,Pisco,0.0,PE,06-04-2019,30.0,-13.71,-76.2,71.6,12.75
250,Venice,75.0,US,06-04-2019,73.0,27.1,-82.45,81.0,1.39
251,Coquimbo,20.0,CL,06-04-2019,87.0,-29.95,-71.34,59.0,8.05
252,Den Helder,90.0,NL,06-04-2019,93.0,52.96,4.76,53.01,6.93
253,Garissa,0.0,KE,06-04-2019,70.0,-0.46,39.64,77.24,8.43
254,Igarka,76.0,RU,06-04-2019,91.0,67.47,86.57,18.74,6.42
255,Jiazi,20.0,CN,06-04-2019,94.0,19.61,110.49,75.2,4.47
256,Waverly,75.0,US,06-04-2019,77.0,37.04,-77.1,63.0,4.18
257,Okhotsk,24.0,RU,06-04-2019,70.0,59.36,143.24,39.53,4.41
258,Inuvik,75.0,CA,06-04-2019,52.0,68.36,-133.71,17.6,6.93
259,Iracoubo,92.0,GF,06-04-2019,94.0,5.48,-53.21,75.26,5.41
260,Tessalit,0.0,ML,06-04-2019,27.0,20.2,1.01,64.37,7.54
261,Kidal,0.0,ML,06-04-2019,21.0,18.44,1.41,74.0,8.66
