License #,DBA Name,Address,City,State
2621370.0,DO-RITE DONUTS & CHICKEN,1027 W ADDISON ST ,CHICAGO,IL
2569284.0,KAI SUSHI,3819 N SOUTHPORT AVE ,CHICAGO,IL
1332670.0,JB'S DELI INC.,5501 N CLARK ST ,CHICAGO,IL
2590104.0,"BILLY GOAT IV, INC.",5700 S CICERO AVE ,CHICAGO,IL
2560609.0,TJAM KITCHEN,1418 W HOWARD ST ,CHICAGO,IL
2397972.0,SUNSHIRO RAMEN,2516 S HALSTED ST ,CHICAGO,IL
1474562.0,POTBELLY SANDWICH WORKS LLC,1625 N DAMEN AVE ,CHICAGO,IL
2563583.0,LARSA'S MEDITERRANEAN RESTAURANT,3146 W TOUHY AVE ,CHICAGO,IL
2229420.0,DIMO'S PIZZA WRIGLEYVILLE,3463 N CLARK ST ,CHICAGO,IL
2321232.0,PALETERIA AYUTLA,2404 W 46TH PL ,CHICAGO,IL
2293343.0,A&T PANCAKE HOUSE,7036 N CLARK ST ,CHICAGO,IL
2659206.0,YOLK - LINCOLN PARK,1504 N FREMONT ST ,CHICAGO,
2432475.0,FLAJAE CAFE,644 N CICERO AVE ,CHICAGO,IL
1819996.0,THE ABERDEEN TAP,440 N ABERDEEN ST ,CHICAGO,IL
55355.0,RAJ DARBAR,2660 N HALSTED ST ,CHICAGO,IL
2616693.0,LOS MANGOS AVERS,3058 S AVERS AVE ,CHICAGO,IL
1357930.0,SUBWAY SANDWICHES #27143,2349 W HOWARD ST ,CHICAGO,IL
2511389.0,PIZZA VINO,5700 S CICERO AVE ,CHICAGO,IL
2595116.0,ARAMI/WOODGRAIN,5700 S CICERO AVE ,CHICAGO,IL
2349597.0,NATYS PIZZA 26,3849 W 26TH ST ,CHICAGO,IL
2600491.0,LA ESQUINA DEL SABOR INC.,4224 W 31ST ST ,CHICAGO,IL
2431870.0,UNIVERSAL ENTERTAINMENT CENTER,11901 S LOOMIS ST ,CHICAGO,IL
1495274.0,SUBWAY,3167 N LINCOLN AVE ,CHICAGO,IL
2432410.0,BEOGRAD CAFE AND RESTAURANT,2933-2939 W IRVING PARK RD ,CHICAGO,IL
2578639.0,SHINYA RAMEN HOUSE,3240 S HALSTED ST ,CHICAGO,IL
2588770.0,CAFE TOLA I,3612 N SOUTHPORT AVE ,CHICAGO,IL
2042823.0,PICANTE TAQUERIA,2018 W DIVISION ST ,CHICAGO,IL
2609486.0,FRUIT GOD,7601 S CICERO AVE ,CHICAGO,IL
2663729.0,LAURA'S PIZZA AND PASTA INC.,1546 W 35TH ST ,CHICAGO,IL
2653277.0,IVY HOTEL,233 E ONTARIO ST ,CHICAGO,IL
1740348.0,KITCHENETTE CORPORATION,3811 N ASHLAND AVE ,CHICAGO,IL
2069506.0,SP KEBAB,6808 N SHERIDAN RD ,CHICAGO,IL
18271.0,PIEZANO'S LTD,2601 W 47TH ST ,CHICAGO,IL
2641932.0,EXQUISITE CATERING & EVENTS LLC,756 E 111TH ST ,CHICAGO,IL
2653273.0,IVY HOTEL,233 E ONTARIO ST ,CHICAGO,IL
2653275.0,IVY HOTEL,233 E ONTARIO ST ,CHICAGO,IL
2641287.0,YATAI,6230 N BROADWAY ,CHICAGO,IL
58149.0,I-57 RIB HOUSE,1524 W 115TH ST ,CHICAGO,IL
2196302.0,LINDO GUADALAJARA RESTAURANT,4761 N CLARK ST ,CHICAGO,IL
1194275.0,J & J FISH,800 N KEDZIE AVE ,CHICAGO,IL
2404445.0,LOS POLLITOS,4003-05 W ARMITAGE AVE ,CHICAGO,IL
2147679.0,ZIZI'S CAFE,2825 N  SHEFFIELD AVE ,CHICAGO,IL
2621661.0,WHEREWITHALL,3472 N ELSTON AVE ,CHICAGO,IL
2636205.0,"BARRACO'S PIZZA,",2105-2121 W 95TH ST ,CHICAGO,IL
2496857.0,POLLO ASADO INC,3724 W MONTROSE AVE ,CHICAGO,IL
2609145.0,CEDAR PALACE,655 W ARMITAGE AVE ,CHICAGO,IL
1938696.0,PICANTE TAQUERIA,2016 1/2 W DIVISION ST ,CHICAGO,IL
1492585.0,LARK,3441 N HALSTED ST ,CHICAGO,IL
2653274.0,IVY HOTEL,233 E ONTARIO ST ,CHICAGO,IL
2589574.0,LOS MANGOS,3859 W 26TH ST ,CHICAGO,IL
2609650.0,B.I. TEA & DIM SUM,131 N CLINTON ST ,CHICAGO,IL
2663629.0,BIG BITE SUSHI,3811 N ASHLAND AVE ,CHICAGO,IL
2405009.0,ORSO'S RESTAURANT,1401 N WELLS ST ,CHICAGO,IL
2609033.0,BLUE SPOT SUSHI CORP.,131 N CLINTON ST ,CHICAGO,IL
2397586.0,GUAPO TACO,2430 W 47TH ST ,CHICAGO,IL
2621663.0,WHEREWITHALL,3472 N ELSTON AVE ,CHICAGO,IL
2289949.0,BON MANGER CATERING AND EVENTS,1973 W 111TH ST ,CHICAGO,IL
2621664.0,WHEREWITHALL,3472 N ELSTON AVE ,CHICAGO,IL
2647772.0,MIMA'S TASTE OF CUBA,2925 W IRVING PARK RD ,CHICAGO,IL
1955.0,EAST BANK CLUB,500 N KINGSBURY ST ,CHICAGO,IL
2621662.0,WHEREWITHALL,3472 N ELSTON AVE ,CHICAGO,IL
2589815.0,DENNIS' B & K,3806 W 26TH ST ,CHICAGO,IL
1070038.0,SUBWAY,5409 S HARLEM AVE ,CHICAGO,IL
1594881.0,MARVIN RESTAURANT,901 S CICERO AVE ,CHICAGO,IL
1518496.0,Moe's Cantina,3518-3522 N CLARK ST ,CHICAGO,IL
2083875.0,WEST ON NORTH,2509 W NORTH AVE ,CHICAGO,IL
2550380.0,LOWCOUNTRY 2,1132 S WABASH AVE ,CHICAGO,IL
2428092.0,ARMAN'S PIIZZERIA,6694 N NORTHWEST HWY ,CHICAGO,IL
2657790.0,HOT GRILL STOP,2200 W TAYLOR ,CHICAGO,IL
2664071.0,URBAN NOMADS,2439 N CLARK ,CHICAGO,IL
2636322.0,"TASTY CHILL, INC.",7601 S CICERO AVE ,CHICAGO,IL
37735.0,DI VITA'S RESTAURANT & PIZZA,3753 W BELMONT AVE ,CHICAGO,IL
1517789.0,Panino's Pizzeria,3702-3704 N BROADWAY ,CHICAGO,IL
2663627.0,MAJANI,756 E 111TH ST ,CHICAGO,IL
45189.0,THE NORTHMAN,4337 N LINCOLN AVE ,CHICAGO,IL
2664116.0,FRIO GELATO,600 E GRAND AVE ,CHICAGO,IL
2359484.0,THE SUBMARINE PIER,2759 W 51ST ST ,CHICAGO,IL
2636386.0,MANHATTAN BAGELS,3268 N CLARK ST ,CHICAGO,IL
2298351.0,SIERRA & SONS ENTERPRISES INC,3808-3810 W NORTH AVE ,CHICAGO,IL
36760.0,GANNON'S PUB,4264 N LINCOLN AVE ,CHICAGO,IL
1447811.0,SUBWAY,4030 W ROOSEVELT RD ,CHICAGO,IL
2522235.0,JIBARITO'S Y MAS,3400 W FULLERTON AVE ,CHICAGO,IL
2477105.0,TAQUIZAS Y BANQUETES EL SIETE,3817 S KEDZIE AVE ,CHICAGO,IL
12601.0,EL FAMOUS RESTAURANT,7047 N CLARK ST ,CHICAGO,IL
1271831.0,PITCHFORK FOOD & SALOON,2922-2924 W IRVING PARK RD ,CHICAGO,IL
1997628.0,ENG'S ASIAN CUISINE,7300 N WESTERN AVE ,CHICAGO,IL
36240.0,PARK TAVERN CHICAGO,1645 W JACKSON BLVD ,CHICAGO,IL
2390685.0,TRUGURT FROZEN YOGURT,3308 N WESTERN AVE ,CHICAGO,IL
2359305.0,LA MIXTECA POBLANA 2 LLC,3046-3050 W 63RD ST ,CHICAGO,IL
2636557.0,PHILLY BROS,734 W FULLERTON AVE ,CHICAGO,IL
64463.0,ROCKY'S TACOS,7043 N CLARK ST ,CHICAGO,IL
2055430.0,SARPINO'S PIZZERIA,4830 N PULASKI RD ,CHICAGO,IL
2528538.0,GIORDANO'S PIZZA,1401 W 18TH ST ,CHICAGO,IL
1141451.0,ARAMARK @ INFORMATION RESOURCES,150 N CLINTON ST ,CHICAGO,IL
2304448.0,EVERYBODY'S COFFEE,935-937 W WILSON AVE ,CHICAGO,IL
12280.0,"EAST OF THE RYAN,INC",914 E 79TH ST ,CHICAGO,IL
2055430.0,SARPINO'S PIZZERIA,4830 N PULASKI RD ,CHICAGO,IL
2398344.0,GIORDANO'S PIZZA,1401 W 18TH ST ,CHICAGO,IL
56159.0,MULLEN'S BAR & GRILL,7301 N WESTERN AVE ,CHICAGO,IL
2663719.0,CANAAN PIZA INC/SARPINO'S PIZZA,4830 N PULASKI RD ,CHICAGO,IL
2222204.0,NEPAL HOUSE,1301 S Michigan AVE ,CHICAGO,IL
1273737.0,RESTAURANT EL RANCHITO,5959 W GRAND AVE ,CHICAGO,IL
2549956.0,TAQUERIA CHIMINO,5245 W FULLERTON AVE ,CHICAGO,IL
2129684.0,TOP DOG II,3961 W IRVING PARK RD ,CHICAGO,IL
2405628.0,DUNKIN DONUTS & BASKIN ROBBINS,3214 W 87TH ST ,CHICAGO,IL
2636552.0,ROOH CHICAGO,736 W RANDOLPH ST ,CHICAGO,IL
1194922.0,PIZZERIA DUE,619 N WABASH AVE ,CHICAGO,IL
1797882.0,MARINERO BAR AND GRILL,2916 W IRVING PARK RD ,CHICAGO,IL
2458479.0,RYUU ASIAN BBQ,2766 N MILWAUKEE AVE ,CHICAGO,IL
2120493.0,GOOSEFOOT,2656 W Lawrence AVE ,CHICAGO,IL
2664140.0,PALETERIA LINDO MICHOACAN,5245 W FULLERTON AVE ,CHICAGO,IL
2636553.0,ROOH CHICAGO,736 W RANDOLPH ST ,CHICAGO,IL
2229492.0,AU BON PAIN,251 E HURON ST ,CHICAGO,IL
2631929.0,DONA NATYS TACOS,1815 W CHICAGO AVE ,CHICAGO,IL
39259.0,"BOURGEOIS PIG ! COFFEE, TEA & SPICES CO.",738 W FULLERTON PKWY ,CHICAGO,IL
44701.0,TIFFIN,2536 W DEVON AVE ,CHICAGO,IL
2517829.0,SMOKE FILLED ROOM,3359 W 79TH ST ,CHICAGO,IL
2658946.0,J AND L FOOD SERVICE,1639 W WALNUT ST BLDG  1ST/2ND,CHICAGO,IL
2501184.0,KING PHO PLUS,5414-5416 W DEVON AVE ,CHICAGO,IL
