license_no,yelp_id,inspection_name,inspection_address,yelp_name,yelp_address
61226.0,0,DON'S HOT DOGS,7748 S KEDZIE AVE ,,
1942358.0,IXwvEhZWkVR_bDfZs7dbhg,SHARKS FISH TONY STEAK,805 W 111TH ST ,Sharks Fish & Tonys Steak,805 W 111th St
71964.0,fGNGjLrTKb75W94DXiWCxw,IGNOTZ' RISTORANTE,2421 S OAKLEY AVE ,Ignotz Ristorante,2421 S Oakley Ave
19419.0,J-jDDJYyPPsLg84jbJntfA,"THE VILLAGE TAP, INC.",2055 W ROSCOE ST ,Village Tap,2055 W Roscoe St
43519.0,3K8whWvhWypsf44WU1yBjw,EL MILAGRO,3050-3052 W 26TH ST ,Taqueria El Milagro,3050 W 26th St
2234977.0,hmX4VH9WgDrEL9HJKcCL5A,TOM AND JERRY FAST FOOD,6359 W MONTROSE AVE ,Tom & Jerry's,6359 W Montrose Ave
2565135.0,LDkDsttuSBvlYQftP2xmSQ,D ARCO'S PIZZA INC.,2819 W 63RD ST ,De Arco's Pizza,2819 W 63rd St
2657950.0,Gbu8REboNkY_R4xXDJeLYg,BORDEAUX LOUNGE BY TURQUOISE,2147 W ROSCOE ST ,Bordeaux Lounge by Turquoise,2147 W Roscoe St
2446242.0,KwbhZi_V-d2NfiX6gRu9pw,A & C FAST FOOD,5101 W NORTH AVE ,R & B Fast Food,5101 W N Ave
2657949.0,Gbu8REboNkY_R4xXDJeLYg,BORDEAUX LOUNGE BY TURQUOISE,2147 W ROSCOE ST ,Bordeaux Lounge by Turquoise,2147 W Roscoe St
2637147.0,0,STONE FLOWER,1952 N DAMEN AVE ,,
2189351.0,0,MARKLAND-HUBBARD GOURMET PROVISIONS,1739 W 99TH ST ,,
2334077.0,vYf4Lo0oUZcrVapLH1huBA,ALTIRO,2116 W ROSCOE ST ,Altiro Latin Fusion - Roscoe,2116 W Roscoe St
2293828.0,5OyWjHapQGzLYQWuZRL8SA,"ROSCOE-DAMEN, CORP.",2000 W ROSCOE ST ,Retro on Roscoe,2000 W Roscoe St
2637146.0,0,STONE FLOWER,1952 N DAMEN AVE ,,
2658934.0,0BPBapHrwWuFp5_Tmun79A,NIBBLES & NOSH/MIDNIGHT MAC & CHEESERIE/XO MARSHMA,6977-6981 N SHERIDAN RD ,Nibbles and Nosh,6981 N Sheridan Rd
2261769.0,HP3zkN0SvoDzQiOdiMAKLw,CHENG CHOPSTICKS,3054 W ARMITAGE AVE ,Cheng Chopsticks,3054 W Armitage Ave
26898.0,nbbwOgv57uzt5A9UfGtX3w,VEE-VEE'S AFRICAN RESTAURANT,6232 N BROADWAY ,Vee Vee African Restaurant,6232 N Broadway St
2617087.0,0,ROBERT'S PIZZA AND DOUGH COMPANY,411 E ILLINOIS ST ,,
2534971.0,0,HOMESLYCE WHEEL HOUSE,934-938 W WEBSTER AVE ,,
2653260.0,0,BLACK EAGLE CLUB,1938 W IRVING PARK RD ,,
2294432.0,3DJ_F-fuSW3ExrMBMN7P0Q,MARGIE'S CANDIES,1960 N WESTERN AVE ,Margie's Candies,1960 N Western Ave
2658172.0,0,BURGERS & MORE,5101 W NORTH AVE ,,
